City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Kavieng,PG,2023-02-19 08:33:40,-2.5744,150.7967,83.1,71,94,2.75
238,Nouadhibou,MR,2023-02-19 08:33:40,20.931,-17.0347,62.58,72,93,18.41
239,Kikinda,RS,2023-02-19 08:33:41,45.8297,20.4653,52.36,66,97,9.13
240,Pangody,RU,2023-02-19 08:32:28,65.85,74.4859,3.87,93,27,6.24
241,Neiafu,TO,2023-02-19 08:33:42,-18.65,-173.9833,81.99,76,68,5.48
242,Puerto Carreno,CO,2023-02-19 08:29:19,6.189,-67.4859,75.54,55,56,11.77
243,San Quintin,MX,2023-02-19 08:33:42,30.4833,-115.95,54.59,73,0,4.41
244,Bursa,TR,2023-02-19 08:33:43,40.1667,29.0833,48.24,43,12,3.87
245,Belousovka,KZ,2023-02-19 08:33:43,50.1339,82.5239,29.25,69,100,6.71
246,Boyolangu,ID,2023-02-19 08:33:43,-8.1181,111.8935,82.85,76,27,11.1
247,Kungurtug,RU,2023-02-19 08:33:44,50.5994,97.5228,19.2,82,78,1.07
248,Caravelas,BR,2023-02-19 08:33:44,-17.7125,-39.2481,74.39,92,91,0.27
249,Goma,CD,2023-02-19 08:33:45,-1.6792,29.2228,76.75,45,36,3.29
250,Tonosho,JP,2023-02-19 08:33:45,34.4833,134.1833,55.2,66,37,18.68
251,Havelock,US,2023-02-19 08:31:56,34.8791,-76.9013,44.92,100,0,0.0
252,Broome,US,2023-02-19 08:33:46,42.2506,-75.833,32.67,65,0,8.05
253,Vanavara,RU,2023-02-19 08:33:46,60.34,102.2797,11.14,90,96,8.14
254,Palasa,IN,2023-02-19 08:33:47,18.7667,84.4167,84.11,55,16,13.15
255,Jiupu,CN,2023-02-19 08:33:48,41.0667,122.95,33.31,24,4,16.55
256,Tapes,BR,2023-02-19 08:30:51,-30.6733,-51.3958,60.24,62,0,3.44
257,Saldanha,ZA,2023-02-19 08:32:56,-33.0117,17.9442,71.65,80,14,12.35
258,Tecoanapa,MX,2023-02-19 08:33:48,16.5167,-98.75,73.83,75,46,2.91
259,Kaitangata,NZ,2023-02-19 08:33:49,-46.2817,169.8464,57.97,80,100,2.57
260,Barra Patuca,HN,2023-02-19 08:33:49,15.8,-84.2833,74.95,87,9,10.25
261,Port Hardy,CA,2023-02-19 08:33:50,50.6996,-127.4199,39.38,100,100,3.44
262,Liepaja,LV,2023-02-19 08:33:51,56.5419,21.0367,35.58,64,40,14.97
263,Belmonte,BR,2023-02-19 08:33:51,-15.8631,-38.8828,76.01,85,100,3.06
264,The Valley,AI,2023-02-19 08:29:30,18.217,-63.0578,76.1,66,7,20.94
265,Saskylakh,RU,2023-02-19 08:33:52,71.9167,114.0833,7.36,96,100,7.25
266,Asyut,EG,2023-02-19 08:33:52,27.181,31.1837,55.58,35,25,10.31
267,Santiago,CL,2023-02-19 08:32:56,-33.4569,-70.6483,69.26,56,0,0.0
268,Macomb,US,2023-02-19 08:33:09,40.4592,-90.6718,44.67,54,100,10.36
269,Bahia Honda,CU,2023-02-19 08:34:53,22.9036,-83.1592,71.22,91,24,7.0
270,Vilyuysk,RU,2023-02-19 08:33:20,63.7553,121.6247,-26.99,100,47,3.83
271,Islamkot,PK,2023-02-19 08:34:54,24.6997,70.177,97.59,7,11,13.33
272,Nurota,UZ,2023-02-19 08:34:54,40.5614,65.6886,50.52,47,100,2.28
273,Yulara,AU,2023-02-19 08:34:55,-25.2406,130.9889,95.56,22,31,25.88
274,Asau,RO,2023-02-19 08:34:55,46.4333,26.4,47.32,77,97,8.46
275,Cockburn Town,TC,2023-02-19 08:34:55,21.4612,-71.1419,77.22,65,35,21.09
276,Vestmannaeyjar,IS,2023-02-19 08:34:56,63.4427,-20.2734,40.19,87,100,37.98
277,Ilam,NP,2023-02-19 08:34:56,26.9167,87.9167,70.32,44,67,5.26
278,Laguna,US,2023-02-19 08:34:57,38.421,-121.4238,47.98,74,0,4.61
279,Nadvoitsy,RU,2023-02-19 08:34:57,63.8667,34.3167,16.86,91,81,9.84
280,Clyde River,CA,2023-02-19 08:34:58,70.4692,-68.5914,-19.97,69,100,14.97
281,Axim,GH,2023-02-19 08:34:58,4.8699,-2.2405,82.26,63,13,2.37
282,Semporna,MY,2023-02-19 08:34:59,4.4818,118.6112,82.06,78,67,8.88
283,Halifax,CA,2023-02-19 08:30:23,44.6453,-63.5724,26.6,85,44,11.5
284,Sabya,SA,2023-02-19 08:35:00,17.1495,42.6254,85.62,55,25,11.5
285,Middlebury,US,2023-02-19 08:35:00,44.0153,-73.1673,30.29,84,100,0.0
286,Merauke,ID,2023-02-19 08:35:01,-8.4667,140.3333,81.95,83,98,10.49
287,Deputatskiy,RU,2023-02-19 08:35:02,69.3,139.9,-39.1,95,41,4.74
288,Taoudenni,ML,2023-02-19 08:35:03,22.6783,-3.9836,75.94,13,95,13.98
289,Manati,PR,2023-02-19 08:35:04,18.4275,-66.4921,71.89,97,21,9.95
290,Puerto Lopez,CO,2023-02-19 08:35:04,4.0845,-72.956,74.05,50,79,2.89
291,Shimoda,JP,2023-02-19 08:35:05,34.6667,138.95,58.1,67,97,27.0
292,Hithadhoo,MV,2023-02-19 08:35:06,-0.6,73.0833,81.57,74,35,6.98
293,Sokoni,TZ,2023-02-19 08:35:07,-6.4333,39.55,83.05,72,89,15.43
